smiles_a,reacted_a
CC[C@H](N)C(=O)NC,CC[C@H](N[Fr])C(=O)NC
CNC(=O)[C@H](CN)NC(=O)c1ccc2[nH]ccc2c1,CNC(=O)[C@H](CN[Fr])NC(=O)C1=CC2=C(C=C1)NC=C2
CNC(=O)c1cc(CN)oc1C,CNC(=O)C1=C(C)OC(CN[Fr])=C1
CNC(=O)[C@@H](CCN)NC(=O)c1ccncc1,CNC(=O)[C@@H](CCN[Fr])NC(=O)C1=CC=NC=C1
CNC(=O)[C@@H](CN)NC(=O)c1cc[nH]n1,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=NNC=C1
CNC(=O)[C@H](CN)NC(=O)c1ccccc1,CNC(=O)[C@H](CN[Fr])NC(=O)C1=CC=CC=C1
CNC(=O)[C@H](CN)NC(=O)c1ccccn1,CNC(=O)[C@H](CN[Fr])NC(=O)C1=NC=CC=C1
CNC(=O)[C@@H]1C[C@H](NC(=O)c2ncoc2C)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)C2=C(C)OC=N2)CN1[Fr]
CNC(=O)CC[C@H](N)C(=O)N1CCN(C)CC1,CNC(=O)CC[C@H](N[Fr])C(=O)N1CCN(C)CC1
CNC(=O)[C@H](CN)NC(=O)c1nccn1C,CNC(=O)[C@H](CN[Fr])NC(=O)C1=NC=CN1C
CNC(=O)[C@@H]1C[C@H](NC(=O)c2ccnn2C)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)C2=CC=NN2C)CN1[Fr]
CCN1C[C@@H](N)C[C@H]1C(=O)NC,CCN1C[C@@H](N[Fr])C[C@H]1C(=O)NC
CNC(=O)[C@@H](CN)NC(=O)c1cnc(N)s1,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=CN=C(N)S1
CNC(=O)[C@H]1Cc2ccccc2CN1,CNC(=O)[C@H]1CC2=C(C=CC=C2)CN1[Fr]
CNC(=O)[C@@H](CCN)NC(=O)c1cnccn1,CNC(=O)[C@@H](CCN[Fr])NC(=O)C1=NC=CN=C1
CNC(=O)[C@H](CN)NC(=O)c1coc(C)n1,CNC(=O)[C@H](CN[Fr])NC(=O)C1=COC(C)=N1
CNC(=O)[C@@H]1C[C@H](NC(=O)[C@H]2CCCO2)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)[C@H]2CCCO2)CN1[Fr]
CNC(=O)CC1CNCCN1CC1CC1,CNC(=O)CC1CN([Fr])CCN1CC1CC1
CNC(=O)c1n[nH]c2c1CCNC2,CNC(=O)C1=NNC2=C1CCN([Fr])C2
CCC(=O)N[C@H](CN)C(=O)NC,CCC(=O)N[C@H](CN[Fr])C(=O)NC
CNC(=O)[C@H](CCN)NC(=O)c1cnccn1,CNC(=O)[C@H](CCN[Fr])NC(=O)C1=NC=CN=C1
CNC(=O)[C@@H](CN)NC(=O)c1cccc2[nH]ccc12,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=C2C=CNC2=CC=C1
CNC(=O)CC1CNCCN1Cc1cncnc1,CNC(=O)CC1CN([Fr])CCN1CC1=CN=CN=C1
CNC(=O)[C@@H]1C[C@H](N)CN1Cc1cscn1,CNC(=O)[C@@H]1C[C@H](N[Fr])CN1CC1=CSC=N1
CNC(=O)[C@@H]1C[C@@H](NC(=O)c2ccccn2)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)C2=NC=CC=C2)CN1[Fr]
CNC(=O)[C@H](CN)NC(=O)c1cc(C)[nH]n1,CNC(=O)[C@H](CN[Fr])NC(=O)C1=NNC(C)=C1
CNC(=O)[C@@H](CN)NC(=O)c1nccn1C,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=NC=CN1C
CNC(=O)[C@@H]1C[C@H](NC(=O)c2coc(C)n2)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)C2=COC(C)=N2)CN1[Fr]
CNC(=O)[C@H](CCN)NC(=O)c1cc(C)[nH]n1,CNC(=O)[C@H](CCN[Fr])NC(=O)C1=NNC(C)=C1
CNC(=O)[C@@H](CCN)NC(=O)c1cc(C)[nH]n1,CNC(=O)[C@@H](CCN[Fr])NC(=O)C1=NNC(C)=C1
CNC(=O)[C@H](CN)NC(=O)C1CCOC1,CNC(=O)[C@H](CN[Fr])NC(=O)C1CCOC1
CNC(=O)[C@H](CCN)NC(=O)CC1CCCC1,CNC(=O)[C@H](CCN[Fr])NC(=O)CC1CCCC1
CNC(=O)[C@@H](CCN)NC(=O)c1ncoc1C,CNC(=O)[C@@H](CCN[Fr])NC(=O)C1=C(C)OC=N1
CNC(=O)[C@H](CN)NC(=O)c1ccc2[nH]ncc2c1,CNC(=O)[C@H](CN[Fr])NC(=O)C1=CC2=C(C=C1)NN=C2
CNC(=O)[C@H](CN)NC(=O)C1CCCCC1,CNC(=O)[C@H](CN[Fr])NC(=O)C1CCCCC1
CNC(=O)[C@@H](C)N,CNC(=O)[C@@H](C)N[Fr]
CNCCC(=O)NC,CNC(=O)CCN(C)[Fr]
CNC(=O)[C@@H](CCN)NC(C)=O,CNC(=O)[C@@H](CCN[Fr])NC(C)=O
CNC(=O)[C@@H](CN)NC(=O)c1cncn1C,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=CN=CN1C
CNC(=O)[C@@H]1C[C@H](NC(=O)c2cncn2C)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)C2=CN=CN2C)CN1[Fr]
CNC(=O)[C@@H]1CCCCN1,CNC(=O)[C@@H]1CCCCN1[Fr]
CNC(=O)[C@@H]1C[C@H](NC(=O)c2ccncc2)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)C2=CC=NC=C2)CN1[Fr]
CNC(=O)C[C@@H]1Cc2ccccc2CN1,CNC(=O)C[C@@H]1CC2=C(C=CC=C2)CN1[Fr]
CNC(=O)[C@@H](CN)N1CCCCC1,CNC(=O)[C@@H](CN[Fr])N1CCCCC1
CNC(=O)[C@@H]1CCCN1,CNC(=O)[C@@H]1CCCN1[Fr]
CCC(=O)N[C@@H]1CN[C@H](C(=O)NC)C1,CCC(=O)N[C@H]1C[C@@H](C(=O)NC)N([Fr])C1
CNC(=O)CC1CNCCN1Cc1ccccc1,CNC(=O)CC1CN([Fr])CCN1CC1=CC=CC=C1
CNC(=O)[C@@H]1C[C@@H](NC(=O)[C@@H]2CCCO2)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)[C@@H]2CCCO2)CN1[Fr]
CNC(=O)[C@@H]1C[C@H](NC(=O)c2ccccn2)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)C2=NC=CC=C2)CN1[Fr]
CNC(=O)[C@H](CN)NC(=O)CC(C)C,CNC(=O)[C@H](CN[Fr])NC(=O)CC(C)C
CNC(=O)CC1CNCCN1Cc1cnc[nH]1,CNC(=O)CC1CN([Fr])CCN1CC1=CN=CN1
CNC(=O)[C@@H]1C[C@@H](NC(=O)C(C)C)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)C(C)C)CN1[Fr]
CNC(=O)[C@@H]1C[C@H](NC(=O)COC)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)COC)CN1[Fr]
CNC(=O)[C@@H](N)COCc1ccccc1,CNC(=O)[C@H](COCC1=CC=CC=C1)N[Fr]
CNC(=O)[C@@H]1C[C@H](NC(=O)C2CCCCC2)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)C2CCCCC2)CN1[Fr]
CNC(=O)[C@@H](N)Cc1cccc2ccccc12,CNC(=O)[C@H](CC1=C2C=CC=CC2=CC=C1)N[Fr]
CNC(=O)[C@@H](CCN)NC(=O)C1CCCCC1,CNC(=O)[C@@H](CCN[Fr])NC(=O)C1CCCCC1
CNC(=O)CC[C@H](N)C(=O)N(C)Cc1ccccc1,CNC(=O)CC[C@H](N[Fr])C(=O)N(C)CC1=CC=CC=C1
CNC(=O)[C@@H]1C[C@@H](NC(=O)[C@H]2CCCO2)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)[C@H]2CCCO2)CN1[Fr]
CNC(=O)[C@H](CN)NC(=O)c1cncnc1,CNC(=O)[C@H](CN[Fr])NC(=O)C1=CN=CN=C1
CNCC(=O)NC,CNC(=O)CN(C)[Fr]
CNC(=O)[C@@H](CCN)NC(=O)c1ccnn1C,CNC(=O)[C@@H](CCN[Fr])NC(=O)C1=CC=NN1C
CNC(=O)[C@@H](CCN)NC(=O)CC(C)C,CNC(=O)[C@@H](CCN[Fr])NC(=O)CC(C)C
CNC(=O)CN1CCC(N)CC1,CNC(=O)CN1CCC(N[Fr])CC1
C=CC[C@H](N)C(=O)NC,C=CC[C@H](N[Fr])C(=O)NC
CNC(=O)[C@@H]1C[C@@H](NC(=O)c2ccnn2C)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)C2=CC=NN2C)CN1[Fr]
CNC(=O)[C@H]1CCCC[C@H]1N,CNC(=O)[C@H]1CCCC[C@H]1N[Fr]
CNC(=O)[C@@H](CN)NC(=O)c1cnc[nH]1,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=CN=CN1
CNC(=O)[C@@H](N)CCC(N)=O,CNC(=O)[C@H](CCC(N)=O)N[Fr]
CNC(=O)C12CC3CC(CC(N)(C3)C1)C2,CNC(=O)C12CC3CC(CC(N[Fr])(C3)C1)C2
CNC(=O)[C@H](CN)NC(=O)c1ccsc1,CNC(=O)[C@H](CN[Fr])NC(=O)C1=CSC=C1
CNC(=O)[C@H](CCN)NC(=O)c1nccn1C,CNC(=O)[C@H](CCN[Fr])NC(=O)C1=NC=CN1C
CNC(=O)[C@@H](CCN)NC(=O)c1cncnc1,CNC(=O)[C@@H](CCN[Fr])NC(=O)C1=CN=CN=C1
CNC(=O)[C@@H](N)CCS(C)=O,CNC(=O)[C@H](CCS(C)=O)N[Fr]
CNC(=O)CCN,CNC(=O)CCN[Fr]
CNC(=O)[C@H](N)Cc1cccs1,CNC(=O)[C@@H](CC1=CC=CS1)N[Fr]
CNC(=O)[C@H](CCN)NC(=O)c1ccccn1,CNC(=O)[C@H](CCN[Fr])NC(=O)C1=NC=CC=C1
CNC(=O)[C@H](N)Cc1ccccc1,CNC(=O)[C@@H](CC1=CC=CC=C1)N[Fr]
CNC(=O)[C@H](N)Cc1c[nH]c2ccccc12,CNC(=O)[C@@H](CC1=CNC2=CC=CC=C12)N[Fr]
CNC(=O)[C@@H](CCN)NC(=O)c1ccsc1,CNC(=O)[C@@H](CCN[Fr])NC(=O)C1=CSC=C1
CNC(=O)[C@@H](CN)NC(=O)C1CCOC1,CNC(=O)[C@@H](CN[Fr])NC(=O)C1CCOC1
CNC(=O)CN1C(=O)[C@@H](N)COc2ccccc21,CNC(=O)CN1C(=O)[C@@H](N[Fr])COC2=C1C=CC=C2
CNC(=O)CC1CCCNC1,CNC(=O)CC1CCCN([Fr])C1
CNC(=O)[C@H](CN)NC(=O)c1cn[nH]c1C,CNC(=O)[C@H](CN[Fr])NC(=O)C1=C(C)NN=C1
CNC(=O)[C@@H]1C[C@H](N2CCCCC2)CN1,CNC(=O)[C@@H]1C[C@H](N2CCCCC2)CN1[Fr]
CNC(=O)CC1CCNCC1,CNC(=O)CC1CCN([Fr])CC1
CNC(=O)[C@@H](CCN)NC(=O)c1ccccc1,CNC(=O)[C@@H](CCN[Fr])NC(=O)C1=CC=CC=C1
CNC(=O)[C@@H]1C[C@@H](N2CCCCC2)CN1,CNC(=O)[C@@H]1C[C@@H](N2CCCCC2)CN1[Fr]
CNC(=O)[C@H](CCN)NC(=O)c1cn(C)cn1,CNC(=O)[C@H](CCN[Fr])NC(=O)C1=CN(C)C=N1
CNC(=O)[C@@H](N)CCC(=O)N(C)Cc1ccccn1,CNC(=O)[C@H](CCC(=O)N(C)CC1=NC=CC=C1)N[Fr]
CNC(=O)[C@@H](N)CCC(=O)N(C)Cc1cccnc1,CNC(=O)[C@H](CCC(=O)N(C)CC1=CN=CC=C1)N[Fr]
CNC(=O)[C@H](CN)NC(=O)C(C)C,CNC(=O)[C@H](CN[Fr])NC(=O)C(C)C
CNC(=O)[C@@H]1C[C@@H](NC(=O)c2ccccc2)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)C2=CC=CC=C2)CN1[Fr]
CNC(=O)[C@@H]1C[C@H](NC(=O)c2cn(C)cn2)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)C2=CN(C)C=N2)CN1[Fr]
CNC(=O)[C@@H]1C[C@H](NC(=O)c2cccnc2)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)C2=CN=CC=C2)CN1[Fr]
CNC(=O)[C@@H](CCN)NC(=O)c1cccs1,CNC(=O)[C@@H](CCN[Fr])NC(=O)C1=CC=CS1
CNC(=O)[C@H]1COCCN1,CNC(=O)[C@H]1COCCN1[Fr]
CNC(=O)[C@@H](N)CCC(=O)N1CCCCC1,CNC(=O)[C@H](CCC(=O)N1CCCCC1)N[Fr]
CNC(=O)CC1CNCCN1CC1CCCCC1,CNC(=O)CC1CN([Fr])CCN1CC1CCCCC1
CNC(=O)[C@H](CCN)NC(=O)c1cccnc1,CNC(=O)[C@H](CCN[Fr])NC(=O)C1=CN=CC=C1
CNC(=O)[C@H](CCN)NC(=O)c1cocn1,CNC(=O)[C@H](CCN[Fr])NC(=O)C1=COC=N1
CNC(=O)[C@@H]1C[C@@H](NC(C)=O)CN1,CNC(=O)[C@@H]1C[C@@H](NC(C)=O)CN1[Fr]
CNC(=O)[C@H](CN)NC(=O)c1cn(C)cn1,CNC(=O)[C@H](CN[Fr])NC(=O)C1=CN(C)C=N1
CNC(=O)[C@@H]1C[C@@H](NC(=O)c2cn(C)cn2)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)C2=CN(C)C=N2)CN1[Fr]
CNC(=O)[C@@H](N)C(C)C,CNC(=O)[C@@H](N[Fr])C(C)C
CNC(=O)[C@H](N)Cc1ccc2ccccc2c1,CNC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)N[Fr]
CNC(=O)[C@H](CN)NC(=O)c1cn[nH]c1,CNC(=O)[C@H](CN[Fr])NC(=O)C1=CNN=C1
CNC(=O)[C@@H]1C[C@H](N)CN1Cc1ccncc1,CNC(=O)[C@@H]1C[C@H](N[Fr])CN1CC1=CC=NC=C1
CNC(=O)[C@@H](CN)NC(=O)c1cnccn1,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=NC=CN=C1
CNC(=O)[C@@H]1CCNC1,CNC(=O)[C@@H]1CCN([Fr])C1
CCC(=O)N[C@@H](CCN)C(=O)NC,CCC(=O)N[C@@H](CCN[Fr])C(=O)NC
CNC(=O)[C@@H](CN)NC(=O)c1ccccc1,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=CC=CC=C1
CNC(=O)[C@@H](CN)NC(=O)C(C)C,CNC(=O)[C@@H](CN[Fr])NC(=O)C(C)C
CNC(=O)[C@H](CCN)NC(=O)c1cncnc1,CNC(=O)[C@H](CCN[Fr])NC(=O)C1=CN=CN=C1
CNC(=O)[C@H](CN)NC(=O)c1ccccc1Cl,CNC(=O)[C@H](CN[Fr])NC(=O)C1=C(Cl)C=CC=C1
CNC(=O)[C@@H](CCN)NC(=O)c1ccn(C)n1,CNC(=O)[C@@H](CCN[Fr])NC(=O)C1=NN(C)C=C1
CNC(=O)[C@@H](CCN)NC(=O)c1nccn1C,CNC(=O)[C@@H](CCN[Fr])NC(=O)C1=NC=CN1C
CNC(=O)[C@@H](CCN)NC(=O)CC1CCCC1,CNC(=O)[C@@H](CCN[Fr])NC(=O)CC1CCCC1
CNC(=O)[C@H](CN)NC(=O)c1cccc2[nH]ccc12,CNC(=O)[C@H](CN[Fr])NC(=O)C1=C2C=CNC2=CC=C1
CNC(=O)[C@H](CN)NC(=O)c1csc(N)n1,CNC(=O)[C@H](CN[Fr])NC(=O)C1=CSC(N)=N1
CNC(=O)[C@@H]1C[C@@H](NC(=O)c2ncoc2C)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)C2=C(C)OC=N2)CN1[Fr]
CNC(=O)[C@@H]1C[C@@H](NC(=O)c2cncnc2)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)C2=CN=CN=C2)CN1[Fr]
CNC(=O)CC[C@H](N)C(=O)N1CCCCC1,CNC(=O)CC[C@H](N[Fr])C(=O)N1CCCCC1
CC[C@@H](N)C(=O)NC,CC[C@@H](N[Fr])C(=O)NC
CNC(=O)[C@@H]1CC[C@H](N)C1,CNC(=O)[C@@H]1CC[C@H](N[Fr])C1
CNC(=O)[C@H](CCN)NC(=O)c1ccnn1C,CNC(=O)[C@H](CCN[Fr])NC(=O)C1=CC=NN1C
CNC(=O)[C@@H](CCN)NC(=O)[C@@H]1CCCO1,CNC(=O)[C@@H](CCN[Fr])NC(=O)[C@@H]1CCCO1
CNC(=O)[C@@H](CCN)NC(=O)c1cnn(C)c1,CNC(=O)[C@@H](CCN[Fr])NC(=O)C1=CN(C)N=C1
CNC(=O)[C@H](CCN)NC(=O)c1csc(N)n1,CNC(=O)[C@H](CCN[Fr])NC(=O)C1=CSC(N)=N1
CNC(=O)[C@@H](N)[C@@H](C)OCc1ccccc1,CNC(=O)[C@@H](N[Fr])[C@@H](C)OCC1=CC=CC=C1
CNC(=O)[C@H](CCN)NC(=O)c1ccccc1,CNC(=O)[C@H](CCN[Fr])NC(=O)C1=CC=CC=C1
CNC(=O)C[C@@H](C)N,CNC(=O)C[C@@H](C)N[Fr]
CNC(=O)[C@@H](CN)NC(=O)[C@H]1CCCO1,CNC(=O)[C@@H](CN[Fr])NC(=O)[C@H]1CCCO1
CNC(=O)[C@@H](CN)NC(=O)c1cccnc1,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=CN=CC=C1
CNC(=O)[C@@H](CCN)NC(=O)c1cocn1,CNC(=O)[C@@H](CCN[Fr])NC(=O)C1=COC=N1
CNC(=O)[C@H](CN)NC(=O)c1ncoc1C,CNC(=O)[C@H](CN[Fr])NC(=O)C1=C(C)OC=N1
CNC(=O)[C@@H](CN)NC(=O)[C@@H]1CCCO1,CNC(=O)[C@@H](CN[Fr])NC(=O)[C@@H]1CCCO1
CNC(=O)[C@@H](CN)NC(=O)c1ccnn1C,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=CC=NN1C
CNC(=O)[C@@H](CCN)NC(=O)c1csc(N)n1,CNC(=O)[C@@H](CCN[Fr])NC(=O)C1=CSC(N)=N1
CNC(=O)[C@@H]1CCN1,CNC(=O)[C@@H]1CCN1[Fr]
CNC(=O)[C@H](CCN)NC(=O)c1ncoc1C,CNC(=O)[C@H](CCN[Fr])NC(=O)C1=C(C)OC=N1
CNC(=O)[C@@H]1C[C@@H](NC(=O)c2cn[nH]c2)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)C2=CNN=C2)CN1[Fr]
CNC(=O)[C@H](CCN)NC(=O)c1coc(C)n1,CNC(=O)[C@H](CCN[Fr])NC(=O)C1=COC(C)=N1
CNC(=O)CN,CNC(=O)CN[Fr]
CNC(=O)[C@@H](CCN)NC(=O)c1ccccn1,CNC(=O)[C@@H](CCN[Fr])NC(=O)C1=NC=CC=C1
CNC(=O)[C@@H](CN)NC(=O)c1cc(C)[nH]n1,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=NNC(C)=C1
CNC(=O)[C@H](CN)NC(=O)c1ccn(C)n1,CNC(=O)[C@H](CN[Fr])NC(=O)C1=NN(C)C=C1
CNC(=O)[C@@H]1C[C@H](N)CN1CC1CCCCC1,CNC(=O)[C@@H]1C[C@H](N[Fr])CN1CC1CCCCC1
CNC(=O)C[C@H](N)c1ccccc1,CNC(=O)C[C@H](N[Fr])C1=CC=CC=C1
CNC(=O)[C@@H](N)c1ccccc1,CNC(=O)[C@@H](N[Fr])C1=CC=CC=C1
CCC(=O)N[C@H]1CN[C@H](C(=O)NC)C1,CCC(=O)N[C@@H]1C[C@@H](C(=O)NC)N([Fr])C1
CNC(=O)[C@H](CN)NC(=O)c1ccc(Cl)cc1,CNC(=O)[C@H](CN[Fr])NC(=O)C1=CC=C(Cl)C=C1
CNC(=O)c1ccccc1CN,CNC(=O)C1=C(CN[Fr])C=CC=C1
CNC(=O)[C@@H](N)Cc1c[nH]c2ccccc12,CNC(=O)[C@H](CC1=CNC2=CC=CC=C12)N[Fr]
CNC(=O)[C@@H](CN)NC(=O)C1CCCCC1,CNC(=O)[C@@H](CN[Fr])NC(=O)C1CCCCC1
CC[C@H](C)[C@H](N)C(=O)NC,CC[C@H](C)[C@H](N[Fr])C(=O)NC
CCC(=O)N[C@@H](CN)C(=O)NC,CCC(=O)N[C@@H](CN[Fr])C(=O)NC
CNC(=O)[C@@H]1C[C@@H](NC(=O)c2cc[nH]n2)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)C2=NNC=C2)CN1[Fr]
CNC(=O)CNCc1ccccc1,CNC(=O)CN([Fr])CC1=CC=CC=C1
CCN1CCNCC1CC(=O)NC,CCN1CCN([Fr])CC1CC(=O)NC
CNC(=O)[C@H]1CCCN1,CNC(=O)[C@H]1CCCN1[Fr]
CNC(=O)[C@@H]1C[C@@H](NC(=O)c2cnc[nH]2)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)C2=CN=CN2)CN1[Fr]
CNC(=O)[C@H](CCN)NC(=O)c1cnn(C)c1,CNC(=O)[C@H](CCN[Fr])NC(=O)C1=CN(C)N=C1
CNC(=O)[C@H](CCN)NC(=O)c1ccn(C)n1,CNC(=O)[C@H](CCN[Fr])NC(=O)C1=NN(C)C=C1
CNC(=O)[C@H](N)Cc1ccc(F)c(F)c1,CNC(=O)[C@@H](CC1=CC(F)=C(F)C=C1)N[Fr]
CNC(=O)CC[C@H](N)C(=O)NC1CCOCC1,CNC(=O)CC[C@H](N[Fr])C(=O)NC1CCOCC1
CNC(=O)[C@H](N)COCc1ccccc1,CNC(=O)[C@@H](COCC1=CC=CC=C1)N[Fr]
CNC(=O)[C@H](CN)NC(=O)c1ccc2[nH]cnc2c1,CNC(=O)[C@H](CN[Fr])NC(=O)C1=CC2=C(C=C1)NC=N2
CNC(=O)[C@@H](N)Cc1cccs1,CNC(=O)[C@H](CC1=CC=CS1)N[Fr]
CNC(=O)CC1CNCCO1,CNC(=O)CC1CN([Fr])CCO1
CNC(=O)[C@@H]1C[C@H](N)CN1Cc1cncnc1,CNC(=O)[C@@H]1C[C@H](N[Fr])CN1CC1=CN=CN=C1
CNC(=O)[C@H](CCN)NC(=O)c1ccsc1,CNC(=O)[C@H](CCN[Fr])NC(=O)C1=CSC=C1
CNC(=O)[C@@H]1C[C@H](NC(=O)c2cnccn2)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)C2=NC=CN=C2)CN1[Fr]
CNC(=O)[C@@H](N)CCC1CCCCC1,CNC(=O)[C@H](CCC1CCCCC1)N[Fr]
CNC(=O)[C@@H](N)Cc1ccc(OC)cc1,CNC(=O)[C@H](CC1=CC=C(OC)C=C1)N[Fr]
CNC(=O)[C@@H]1Cc2ccccc2CN1,CNC(=O)[C@@H]1CC2=C(C=CC=C2)CN1[Fr]
CNC(=O)[C@@H]1C[C@H](NC(=O)c2cc(C)[nH]n2)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)C2=NNC(C)=C2)CN1[Fr]
CNC(=O)[C@H]1C[C@@H](N)C1,CNC(=O)[C@H]1C[C@@H](N[Fr])C1
CNC(=O)[C@@H]1C[C@@H](NC(=O)c2cc(C)[nH]n2)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)C2=NNC(C)=C2)CN1[Fr]
CNC(=O)[C@@H](CCN)NC(=O)C(C)C,CNC(=O)[C@@H](CCN[Fr])NC(=O)C(C)C
CNC(=O)[C@@H](CN)NC(=O)c1ccc2[nH]ccc2c1,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=CC2=C(C=C1)NC=C2
CNC(=O)[C@@H]1C[C@@H](NC(=O)c2cnn(C)c2)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)C2=CN(C)N=C2)CN1[Fr]
CNC(=O)[C@@H]1C[C@H](NC(=O)c2cocn2)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)C2=COC=N2)CN1[Fr]
CNC(=O)[C@@H]1C[C@@H](NC(=O)c2nccn2C)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)C2=NC=CN2C)CN1[Fr]
CNC(=O)[C@@H]1C[C@@H](NC(=O)C2CCCCC2)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)C2CCCCC2)CN1[Fr]
CNC(=O)[C@@H](CN)NC(=O)c1cncnc1,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=CN=CN=C1
CNC(=O)[C@@H]1Cc2c([nH]c3ccccc23)CN1,CNC(=O)[C@@H]1CC2=C(CN1[Fr])NC1=CC=CC=C21
