smiles_a,reacted_a
CNC(=O)CC[C@H](N)C(=O)N1CCn2ccnc2C1,CNC(=O)CC[C@H](N[Fr])C(=O)N1CCN2C=CN=C2C1
CNC(=O)[C@@H]1C[C@H](NC(=O)c2cc[nH]n2)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)C2=NNC=C2)CN1[Fr]
CNC(=O)CC1CNC1,CNC(=O)CC1CN([Fr])C1
CNC(=O)[C@@H](CN)NC(=O)c1ccc2[nH]cnc2c1,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=CC2=C(C=C1)NC=N2
CNC(=O)[C@@H]1C[C@H](NC(=O)c2nccn2C)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)C2=NC=CN2C)CN1[Fr]
CNC(=O)[C@@H](CCN)NC(=O)c1cc[nH]n1,CNC(=O)[C@@H](CCN[Fr])NC(=O)C1=NNC=C1
CNC(=O)[C@H](CCN)NC(=O)COC,CNC(=O)[C@H](CCN[Fr])NC(=O)COC
CNC(=O)[C@@H]1C[C@H](NC(=O)c2cccs2)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)C2=CC=CS2)CN1[Fr]
CNC(=O)[C@@H](CCN)N1CCCCC1,CNC(=O)[C@@H](CCN[Fr])N1CCCCC1
CNC(=O)[C@@H](N)CC1CC1,CNC(=O)[C@H](CC1CC1)N[Fr]
CNC(=O)[C@H](CCN)NC(=O)c1cn[nH]c1,CNC(=O)[C@H](CCN[Fr])NC(=O)C1=CNN=C1
CNC(=O)[C@@H]1CCCNC1,CNC(=O)[C@@H]1CCCN([Fr])C1
CNC(=O)[C@@H]1C[C@H](N)CN1Cc1cc[nH]n1,CNC(=O)[C@@H]1C[C@H](N[Fr])CN1CC1=NNC=C1
CNC(=O)[C@@H](CN)NC(C)=O,CNC(=O)[C@@H](CN[Fr])NC(C)=O
CNC(=O)[C@@H](N)CCc1ccccc1,CNC(=O)[C@H](CCC1=CC=CC=C1)N[Fr]
CNC(=O)[C@@H](CN)NC(=O)c1ncoc1C,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=C(C)OC=N1
CNC(=O)[C@@H](CCN)NC(=O)c1cn[nH]c1,CNC(=O)[C@@H](CCN[Fr])NC(=O)C1=CNN=C1
CNC(=O)[C@H](CCN)NC(=O)C1CCCCC1,CNC(=O)[C@H](CCN[Fr])NC(=O)C1CCCCC1
CNC(=O)[C@@H](CN)NC(=O)c1ccn(C)n1,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=NN(C)C=C1
CNC(=O)[C@@H](CCN)NC(=O)c1cn(C)cn1,CNC(=O)[C@@H](CCN[Fr])NC(=O)C1=CN(C)C=N1
CNC(=O)[C@H]1CNCCO1,CNC(=O)[C@H]1CN([Fr])CCO1
CNC(=O)[C@@H]1C[C@H](NC(=O)c2cnc[nH]2)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)C2=CN=CN2)CN1[Fr]
CNC(=O)[C@H](CN)NC(=O)c1cnn(C)c1,CNC(=O)[C@H](CN[Fr])NC(=O)C1=CN(C)N=C1
CNC(=O)[C@@H]1C[C@@H](NC(=O)c2coc(C)n2)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)C2=COC(C)=N2)CN1[Fr]
CNC(=O)[C@H](N)CCC(N)=O,CNC(=O)[C@@H](CCC(N)=O)N[Fr]
CNC(=O)[C@H]1CC[C@@H](N)CC1,CNC(=O)[C@H]1CC[C@@H](N[Fr])CC1
CNC(=O)[C@@H]1C[C@H](NC(=O)c2cn[nH]c2C)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)C2=C(C)NN=C2)CN1[Fr]
CNC(=O)[C@H](CCN)NC(=O)CC(C)C,CNC(=O)[C@H](CCN[Fr])NC(=O)CC(C)C
CNC(=O)[C@@H](CCN)NC(=O)c1cncn1C,CNC(=O)[C@@H](CCN[Fr])NC(=O)C1=CN=CN1C
CNC(=O)CC1CNCCN1Cc1ccncc1,CNC(=O)CC1CN([Fr])CCN1CC1=CC=NC=C1
CNC(=O)[C@@H](CN)NC(=O)c1coc(C)n1,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=COC(C)=N1
CNC(=O)[C@@H](CCN)NC(=O)COC,CNC(=O)[C@@H](CCN[Fr])NC(=O)COC
CNC(=O)[C@@H]1C[C@H](NC(=O)C2CCOC2)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)C2CCOC2)CN1[Fr]
CNC(=O)[C@@H]1C[C@H](N)CN1C(=O)c1ccccc1,CNC(=O)[C@@H]1C[C@H](N[Fr])CN1C(=O)C1=CC=CC=C1
CNC(=O)CC1(CN)CCCCC1,CNC(=O)CC1(CN[Fr])CCCCC1
CNC(=O)[C@@H]1C[C@H](N)CN1Cc1cccnc1,CNC(=O)[C@@H]1C[C@H](N[Fr])CN1CC1=CN=CC=C1
CNC(=O)CN1CCNCC1,CNC(=O)CN1CCN([Fr])CC1
CNC(=O)[C@H](CCN)N1CCCCC1,CNC(=O)[C@H](CCN[Fr])N1CCCCC1
CNC(=O)COC1CNC1,CNC(=O)COC1CN([Fr])C1
CCC[C@@H](N)C(=O)NC,CCC[C@@H](N[Fr])C(=O)NC
CNC(=O)[C@@H]1CCC[C@H](N)C1,CNC(=O)[C@@H]1CCC[C@H](N[Fr])C1
CNC(=O)[C@@H]1C[C@@H](NC(=O)c2ccncc2)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)C2=CC=NC=C2)CN1[Fr]
CNC(=O)[C@H](CN)NC(C)=O,CNC(=O)[C@H](CN[Fr])NC(C)=O
CNC(=O)[C@H]1CC[C@H](CN)CC1,CNC(=O)[C@H]1CC[C@H](CN[Fr])CC1
CNC(=O)[C@H](CCN)NC(=O)c1cc[nH]n1,CNC(=O)[C@H](CCN[Fr])NC(=O)C1=NNC=C1
CNC(=O)c1cnn(C2CCCNC2)c1,CNC(=O)C1=CN(C2CCCN([Fr])C2)N=C1
CNC(=O)[C@@H](N)Cc1ccc2ccccc2c1,CNC(=O)[C@H](CC1=CC2=CC=CC=C2C=C1)N[Fr]
CNC(=O)[C@@H]1C[C@@H](NC(=O)c2ccsc2)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)C2=CSC=C2)CN1[Fr]
CNC(=O)[C@H](CCN)NC(=O)C1CCOC1,CNC(=O)[C@H](CCN[Fr])NC(=O)C1CCOC1
CNC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1,CNC(=O)[C@@H]1C[C@@H](OCC2=CC=CC=C2)CN1[Fr]
CNC(=O)[C@@H](CN)NC(=O)COC,CNC(=O)[C@@H](CN[Fr])NC(=O)COC
CNC(=O)[C@H]1CCNC1,CNC(=O)[C@H]1CCN([Fr])C1
CNC(=O)[C@H](CN)N1CCCCC1,CNC(=O)[C@H](CN[Fr])N1CCCCC1
CNC(=O)[C@@H]1C[C@H](N)CN1Cc1ccccn1,CNC(=O)[C@@H]1C[C@H](N[Fr])CN1CC1=NC=CC=C1
CNC(=O)[C@@H](N)CC1CCCCC1,CNC(=O)[C@H](CC1CCCCC1)N[Fr]
CNC(=O)[C@H](CCN)NC(=O)[C@H]1CCCO1,CNC(=O)[C@H](CCN[Fr])NC(=O)[C@H]1CCCO1
CNC(=O)[C@@H](N)CCC(=O)NC1CCOCC1,CNC(=O)[C@H](CCC(=O)NC1CCOCC1)N[Fr]
CNC(=O)[C@H](CCN)NC(=O)c1cncn1C,CNC(=O)[C@H](CCN[Fr])NC(=O)C1=CN=CN1C
CNC(=O)CC1CNCCN1Cc1cccnc1,CNC(=O)CC1CN([Fr])CCN1CC1=CN=CC=C1
CNC(=O)[C@@H](N)Cc1cccc(C(F)(F)F)c1,CNC(=O)[C@H](CC1=CC(C(F)(F)F)=CC=C1)N[Fr]
CNC(=O)[C@@H]1C[C@@H](NC(=O)C2CCOC2)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)C2CCOC2)CN1[Fr]
CNC(=O)[C@H](CN)NC(=O)c1cncn1C,CNC(=O)[C@H](CN[Fr])NC(=O)C1=CN=CN1C
CNC(=O)[C@@H](N)CCC(=O)N1CCN(C)CC1,CNC(=O)[C@H](CCC(=O)N1CCN(C)CC1)N[Fr]
CNC(=O)[C@H](CN)NC(=O)c1cocn1,CNC(=O)[C@H](CN[Fr])NC(=O)C1=COC=N1
CCC(=O)N[C@H](CCN)C(=O)NC,CCC(=O)N[C@H](CCN[Fr])C(=O)NC
CNC(=O)[C@H](CCN)NC(=O)C(C)C,CNC(=O)[C@H](CCN[Fr])NC(=O)C(C)C
CNC(=O)[C@H](N)CCc1ccccc1,CNC(=O)[C@@H](CCC1=CC=CC=C1)N[Fr]
CNC(=O)CN1CCCC[C@H](N)C1=O,CNC(=O)CN1CCCC[C@H](N[Fr])C1=O
CNC(=O)C1COCCN1,CNC(=O)C1COCCN1[Fr]
CNC(=O)[C@@H](CCN)NC(=O)[C@H]1CCCO1,CNC(=O)[C@@H](CCN[Fr])NC(=O)[C@H]1CCCO1
CNC(=O)[C@@H](N)CCC(=O)N1CCn2ccnc2C1,CNC(=O)[C@H](CCC(=O)N1CCN2C=CN=C2C1)N[Fr]
CNC(=O)c1ccc(CN)nc1,CNC(=O)C1=CN=C(CN[Fr])C=C1
CNC(=O)[C@H](N)Cc1ccc(OC)cc1,CNC(=O)[C@@H](CC1=CC=C(OC)C=C1)N[Fr]
CNC(=O)[C@H](CN)NC(=O)[C@@H]1CCCO1,CNC(=O)[C@H](CN[Fr])NC(=O)[C@@H]1CCCO1
CNC(=O)CC1CNCCN1Cc1cnn(C)c1,CNC(=O)CC1CN([Fr])CCN1CC1=CN(C)N=C1
CNC(=O)[C@H](N)CC(N)=O,CNC(=O)[C@@H](CC(N)=O)N[Fr]
CNC(=O)[C@H](N)CC1CCCCC1,CNC(=O)[C@@H](CC1CCCCC1)N[Fr]
CNC(=O)C[C@H]1CC[C@@H](N)CC1,CNC(=O)C[C@H]1CC[C@@H](N[Fr])CC1
CNC(=O)[C@@H]1C[C@@H](NC(=O)c2cnccn2)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)C2=NC=CN=C2)CN1[Fr]
CNC(=O)[C@@H]1C[C@H](NC(=O)[C@@H]2CCCO2)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)[C@@H]2CCCO2)CN1[Fr]
CNC(=O)[C@@H]1C[C@H](NC(C)=O)CN1,CNC(=O)[C@@H]1C[C@H](NC(C)=O)CN1[Fr]
CNC(=O)[C@@H](CN)NC(=O)c1cccs1,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=CC=CS1
CNC(=O)[C@@H](CN)NC(=O)c1cocn1,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=COC=N1
CNC(=O)[C@@H]1C[C@@H](NC(=O)c2cncn2C)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)C2=CN=CN2C)CN1[Fr]
CNC(=O)[C@@H]1C[C@@H](NC(=O)CC(C)C)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)CC(C)C)CN1[Fr]
CNC(=O)[C@@H]1C[C@H](NC(=O)c2cn[nH]c2)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)C2=CNN=C2)CN1[Fr]
CNC(=O)[C@@H]1C[C@@H](NC(=O)c2cocn2)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)C2=COC=N2)CN1[Fr]
CNC(=O)[C@@H]1C[C@H](N)CN1Cc1ccccc1,CNC(=O)[C@@H]1C[C@H](N[Fr])CN1CC1=CC=CC=C1
CNC(=O)[C@H](CCN)NC(=O)c1cccs1,CNC(=O)[C@H](CCN[Fr])NC(=O)C1=CC=CS1
CNC(=O)c1cccc(CN)c1,CNC(=O)C1=CC=CC(CN[Fr])=C1
CNC(=O)c1ccc(CN)cc1,CNC(=O)C1=CC=C(CN[Fr])C=C1
CNC(=O)[C@@H](CN)NC(=O)c1ccncc1,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=CC=NC=C1
CNC(=O)[C@H](CN)NC(=O)c1cccnc1,CNC(=O)[C@H](CN[Fr])NC(=O)C1=CN=CC=C1
CNC(=O)[C@H]1CC[C@H](N)CC1,CNC(=O)[C@H]1CC[C@H](N[Fr])CC1
CNC(=O)[C@@H](N)CCC(=O)N(C)Cc1ccccc1,CNC(=O)[C@H](CCC(=O)N(C)CC1=CC=CC=C1)N[Fr]
CNC(=O)CC1CNCCN1Cc1cc[nH]n1,CNC(=O)CC1CN([Fr])CCN1CC1=NNC=C1
CNC(=O)[C@H]1Cc2c([nH]c3ccccc23)CN1,CNC(=O)[C@H]1CC2=C(CN1[Fr])NC1=CC=CC=C21
CNC(=O)[C@@H](CCN)NC(=O)c1cnc[nH]1,CNC(=O)[C@@H](CCN[Fr])NC(=O)C1=CN=CN1
CNC(=O)[C@@H]1C[C@H](N)CN1Cc1cnn(C)c1,CNC(=O)[C@@H]1C[C@H](N[Fr])CN1CC1=CN(C)N=C1
CNC(=O)C(C)(C)N,CNC(=O)C(C)(C)N[Fr]
CNC(=O)CC1CNCCN1Cc1cscn1,CNC(=O)CC1CN([Fr])CCN1CC1=CSC=N1
CNC(=O)[C@@H](N)CC(C)C,CNC(=O)[C@H](CC(C)C)N[Fr]
CNC(=O)C[C@H](C)N,CNC(=O)C[C@H](C)N[Fr]
CNC(=O)[C@@H](CCN)NC(=O)c1cnc(N)s1,CNC(=O)[C@@H](CCN[Fr])NC(=O)C1=CN=C(N)S1
CNC(=O)[C@@H](CN)NC(=O)c1cn[nH]c1C,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=C(C)NN=C1
CNC(=O)[C@@H]1C[C@H](NC(=O)c2cncnc2)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)C2=CN=CN=C2)CN1[Fr]
CNC(=O)C1CNCCO1,CNC(=O)C1CN([Fr])CCO1
CNC(=O)[C@H](CN)NC(=O)[C@H]1CCCO1,CNC(=O)[C@H](CN[Fr])NC(=O)[C@H]1CCCO1
CNC(=O)[C@H](CN)NC(=O)COC,CNC(=O)[C@H](CN[Fr])NC(=O)COC
CNC(=O)[C@H]1CNC[C@@H]1c1ccccc1,CNC(=O)[C@H]1CN([Fr])C[C@@H]1C1=CC=CC=C1
CNC(=O)[C@@H](N)CCC(=O)NCc1cnn(C)c1,CNC(=O)[C@H](CCC(=O)NCC1=CN(C)N=C1)N[Fr]
CNC(=O)[C@@H]1C[C@H](NC(=O)c2ccn(C)n2)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)C2=NN(C)C=C2)CN1[Fr]
CNC(=O)C[C@H]1CCCNC1,CNC(=O)C[C@H]1CCCN([Fr])C1
CNC(=O)[C@@H]1C[C@@H](NC(=O)c2cccs2)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)C2=CC=CS2)CN1[Fr]
CNC(=O)[C@H](N)Cc1cccc2ccccc12,CNC(=O)[C@@H](CC1=C2C=CC=CC2=CC=C1)N[Fr]
CNC(=O)[C@H](CCN)NC(=O)c1cnc[nH]1,CNC(=O)[C@H](CCN[Fr])NC(=O)C1=CN=CN1
CNC(=O)[C@@H](CCN)NC(=O)C1CCOC1,CNC(=O)[C@@H](CCN[Fr])NC(=O)C1CCOC1
CNC(=O)[C@H](CN)NC(=O)c1cnc[nH]1,CNC(=O)[C@H](CN[Fr])NC(=O)C1=CN=CN1
CNC(=O)[C@H](CN)NC(=O)c1cccs1,CNC(=O)[C@H](CN[Fr])NC(=O)C1=CC=CS1
CNC(=O)[C@@H](CN)NC(=O)c1ccc(Cl)cc1,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=CC=C(Cl)C=C1
CNC(=O)CC[C@H](N)C(=O)N(C)Cc1cccnc1,CNC(=O)CC[C@H](N[Fr])C(=O)N(C)CC1=CN=CC=C1
CNC(=O)[C@@H](N)CO,CNC(=O)[C@H](CO)N[Fr]
CNC(=O)[C@@H]1C[C@H](N)CN1CC1CC1,CNC(=O)[C@@H]1C[C@H](N[Fr])CN1CC1CC1
CNC(=O)[C@H](CN)NC(=O)c1cc[nH]n1,CNC(=O)[C@H](CN[Fr])NC(=O)C1=NNC=C1
CNC(=O)CCCN,CNC(=O)CCCN[Fr]
CNC(=O)[C@@H]1C[C@@H](NC(=O)COC)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)COC)CN1[Fr]
CNC(=O)[C@@H](N)CCCCNC(C)=O,CNC(=O)[C@H](CCCCNC(C)=O)N[Fr]
CNC(=O)[C@H](CN)NC(=O)c1ccncc1,CNC(=O)[C@H](CN[Fr])NC(=O)C1=CC=NC=C1
CNC(=O)[C@@H]1C[C@@H](NC(=O)c2cccnc2)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)C2=CN=CC=C2)CN1[Fr]
CNC(=O)[C@H](CCN)NC(=O)c1cnc(N)s1,CNC(=O)[C@H](CCN[Fr])NC(=O)C1=CN=C(N)S1
CNC(=O)[C@H]1CCCCN1,CNC(=O)[C@H]1CCCCN1[Fr]
CNC(=O)[C@H](CCN)NC(C)=O,CNC(=O)[C@H](CCN[Fr])NC(C)=O
CNC(=O)[C@H](CCN)NC(=O)c1ccncc1,CNC(=O)[C@H](CCN[Fr])NC(=O)C1=CC=NC=C1
CNC(=O)[C@H](CN)NC(=O)c1cccc2cc[nH]c12,CNC(=O)[C@H](CN[Fr])NC(=O)C1=C2NC=CC2=CC=C1
CNC(=O)[C@H](CN)NC(=O)CC1CCCC1,CNC(=O)[C@H](CN[Fr])NC(=O)CC1CCCC1
CNC(=O)[C@@H](CCN)NC(=O)c1cn[nH]c1C,CNC(=O)[C@@H](CCN[Fr])NC(=O)C1=C(C)NN=C1
CNC(=O)[C@@H](CCN)NC(=O)c1cccnc1,CNC(=O)[C@@H](CCN[Fr])NC(=O)C1=CN=CC=C1
CNC(=O)[C@@H](CN)NC(=O)c1cccc(Cl)c1,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=CC(Cl)=CC=C1
CNC(=O)C[C@H]1Cc2ccccc2CN1,CNC(=O)C[C@H]1CC2=C(C=CC=C2)CN1[Fr]
CNC(=O)[C@H]1CCC[C@@H](N)C1,CNC(=O)[C@H]1CCC[C@@H](N[Fr])C1
CNC(=O)[C@@H](CN)NC(=O)c1ccccc1Cl,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=C(Cl)C=CC=C1
CNC(=O)[C@@H]1C[C@@H](NC(=O)c2ccn(C)n2)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)C2=NN(C)C=C2)CN1[Fr]
CNC(=O)CC1CNCCN1Cc1ccccn1,CNC(=O)CC1CN([Fr])CCN1CC1=NC=CC=C1
CNC(=O)[C@@H](N)Cc1ccccc1Cl,CNC(=O)[C@H](CC1=C(Cl)C=CC=C1)N[Fr]
CNC(=O)c1[nH]nc2c1CNCC2,CNC(=O)C1=C2CN([Fr])CCC2=NN1
CNC(=O)[C@@H](CN)NC(=O)CC(C)C,CNC(=O)[C@@H](CN[Fr])NC(=O)CC(C)C
CNC(=O)[C@H]1CCCNC1,CNC(=O)[C@H]1CCCN([Fr])C1
CNC(=O)[C@H](N)Cc1ccc(Cl)cc1,CNC(=O)[C@@H](CC1=CC=C(Cl)C=C1)N[Fr]
CNC(=O)[C@@H](CN)NC(=O)CC1CCCC1,CNC(=O)[C@@H](CN[Fr])NC(=O)CC1CCCC1
CNC(=O)[C@H](N)Cc1cccc(Cl)c1,CNC(=O)[C@@H](CC1=CC(Cl)=CC=C1)N[Fr]
CNC(=O)[C@@H]1C[C@H](NC(=O)c2ccccc2)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)C2=CC=CC=C2)CN1[Fr]
CNC(=O)[C@@H](CN)NC(=O)c1csc(N)n1,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=CSC(N)=N1
CNC(=O)[C@@H](N)Cc1cccc(Cl)c1,CNC(=O)[C@H](CC1=CC(Cl)=CC=C1)N[Fr]
CNC(=O)CC[C@H](N)C(=O)N(C)Cc1ccccn1,CNC(=O)CC[C@H](N[Fr])C(=O)N(C)CC1=NC=CC=C1
CNC(=O)[C@H](N)c1ccccc1,CNC(=O)[C@H](N[Fr])C1=CC=CC=C1
CNC(=O)c1cccc(S(=O)(=O)N2CCNCC2)c1,CNC(=O)C1=CC=CC(S(=O)(=O)N2CCN([Fr])CC2)=C1
CNC(=O)[C@@H]1C[C@H](NC(=O)CC2CCCC2)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)CC2CCCC2)CN1[Fr]
CNC(=O)[C@@H]1C[C@H](N)CN1Cc1cnc[nH]1,CNC(=O)[C@@H]1C[C@H](N[Fr])CN1CC1=CN=CN1
CNC(=O)[C@H](N)CC(C)C,CNC(=O)[C@@H](CC(C)C)N[Fr]
CNC(=O)[C@H](CN)NC(=O)c1cccc(Cl)c1,CNC(=O)[C@H](CN[Fr])NC(=O)C1=CC(Cl)=CC=C1
CNC(=O)[C@@H]1C[C@H](NC(=O)c2ccsc2)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)C2=CSC=C2)CN1[Fr]
CNC(=O)[C@@H](N)Cc1ccc(Cl)cc1,CNC(=O)[C@H](CC1=CC=C(Cl)C=C1)N[Fr]
CNC(=O)[C@@H](CN)NC(=O)c1ccccn1,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=NC=CC=C1
CNC(=O)[C@H](C)N,CNC(=O)[C@H](C)N[Fr]
CNC(=O)[C@H](CCN)NC(=O)[C@@H]1CCCO1,CNC(=O)[C@H](CCN[Fr])NC(=O)[C@@H]1CCCO1
CNC(=O)c1ccc2nc(CCN)[nH]c2c1,CNC(=O)C1=CC2=C(C=C1)N=C(CCN[Fr])N2
CNC(=O)[C@@H](CN)NC(=O)c1cccc2cc[nH]c12,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=C2NC=CC2=CC=C1
CNC(=O)[C@@H](CN)NC(=O)c1cnn(C)c1,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=CN(C)N=C1
CNC(=O)[C@H](N)Cc1ccccc1Cl,CNC(=O)[C@@H](CC1=C(Cl)C=CC=C1)N[Fr]
CNC(=O)[C@@H](CN)NC(=O)c1cn[nH]c1,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=CNN=C1
CNC(=O)[C@@H](N)Cc1ccccc1,CNC(=O)[C@H](CC1=CC=CC=C1)N[Fr]
CNC(=O)[C@@H](CCN)NC(=O)c1coc(C)n1,CNC(=O)[C@@H](CCN[Fr])NC(=O)C1=COC(C)=N1
CNC(=O)[C@H](CN)NC(=O)c1ccnn1C,CNC(=O)[C@H](CN[Fr])NC(=O)C1=CC=NN1C
CNC(=O)[C@@H]1C[C@H](NC(=O)c2cnn(C)c2)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)C2=CN(C)N=C2)CN1[Fr]
CNC(=O)[C@@H]1C[C@H](NC(=O)C(C)C)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)C(C)C)CN1[Fr]
CNC(=O)[C@@H](CN)NC(=O)c1ccc2[nH]ncc2c1,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=CC2=C(C=C1)NN=C2
CNC(=O)C1CCNCC1,CNC(=O)C1CCN([Fr])CC1
CNC(=O)[C@@H]1C[C@H](NC(=O)CC(C)C)CN1,CNC(=O)[C@@H]1C[C@H](NC(=O)CC(C)C)CN1[Fr]
CNC(=O)[C@@H]1C[C@@H](NC(=O)c2cn[nH]c2C)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)C2=C(C)NN=C2)CN1[Fr]
CNC(=O)CC[C@H](N)C(=O)NCc1cnn(C)c1,CNC(=O)CC[C@H](N[Fr])C(=O)NCC1=CN(C)N=C1
CNC(=O)[C@@H](CN)NC(=O)c1ccsc1,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=CSC=C1
CNC(=O)[C@H](CCN)NC(=O)c1cn[nH]c1C,CNC(=O)[C@H](CCN[Fr])NC(=O)C1=C(C)NN=C1
CNC(=O)C1CNC1,CNC(=O)C1CN([Fr])C1
CNC(=O)[C@H](CN)NC(=O)c1cnc(N)s1,CNC(=O)[C@H](CN[Fr])NC(=O)C1=CN=C(N)S1
CNC(=O)[C@H](N)C(C)C,CNC(=O)[C@H](N[Fr])C(C)C
CNC(=O)[C@@H](N)C1CCCC1,CNC(=O)[C@@H](N[Fr])C1CCCC1
CNC(=O)[C@H](CN)NC(=O)c1cnccn1,CNC(=O)[C@H](CN[Fr])NC(=O)C1=NC=CN=C1
CNC(=O)[C@@H]1C[C@@H](NC(=O)CC2CCCC2)CN1,CNC(=O)[C@@H]1C[C@@H](NC(=O)CC2CCCC2)CN1[Fr]
CNC(=O)[C@@H](CN)NC(=O)c1cn(C)cn1,CNC(=O)[C@@H](CN[Fr])NC(=O)C1=CN(C)C=N1
CNC(=O)c1sc(C2CCNCC2)nc1C,CNC(=O)C1=C(C)N=C(C2CCN([Fr])CC2)S1
