smiles_b,reacted_b
Nc1nc(cs1)C(O)=O,NC1=NC(C(=O)[At])=CS1
FC1=CC=C(C=O)C=C1Br,FC1=C(Br)C=C(C[At])C=C1
Cn1nccc1C(O)=O,CN1N=CC=C1C(=O)[At]
OC(=O)CCCCC1=CC=C(F)C=C1,O=C([At])CCCCC1=CC=C(F)C=C1
CS(=O)(=O)NC1=CC=C(C=C1)C(O)=O,CS(=O)(=O)NC1=CC=C(C(=O)[At])C=C1
OC(=O)C1=CC(F)=C(C=C1)C(F)(F)F,O=C([At])C1=CC=C(C(F)(F)F)C(F)=C1
OC(=O)C1=CC=C(OC(F)F)C=C1,O=C([At])C1=CC=C(OC(F)F)C=C1
CC(C)(C)OC(=O)N1CCCC(CC(O)=O)C1,CC(C)(C)OC(=O)N1CCCC(CC(=O)[At])C1
OCC1=CC=C(CC(O)=O)C=C1,O=C([At])CC1=CC=C(CO)C=C1
CC1=C(C=CC=C1Cl)C(O)=O,CC1=C(Cl)C=CC=C1C(=O)[At]
CC1=C(Cl)C=CC(=C1)C(O)=O,CC1=C(Cl)C=CC(C(=O)[At])=C1
FC1=CC(Cl)=CC(C=O)=C1,FC1=CC(Cl)=CC(C[At])=C1
[O-][N+](=O)C1=CC=C(\\C=C\\C=O)C=C1,O=[N+]([O-])C1=CC=C(/C=C/C[At])C=C1
COC1=C(OC)C=C(C=O)C=C1,COC1=CC=C(C[At])C=C1OC
COC1=CC(CCC(O)=O)=CC(OC)=C1OC,COC1=CC(CCC(=O)[At])=CC(OC)=C1OC
OC(=O)C1=C(O)N=CC(=C1)[N+]([O-])=O,O=C([At])C1=CC([N+](=O)[O-])=CN=C1O
COC1=CC(=CC=N1)C(O)=O,COC1=CC(C(=O)[At])=CC=N1
OC(=O)CCCC1=CC=C(F)C=C1,O=C([At])CCCC1=CC=C(F)C=C1
C[C@H](N(C)C(=O)OC(C)(C)C)C(O)=O,C[C@@H](C(=O)[At])N(C)C(=O)OC(C)(C)C
CC1=C(C=CC(Cl)=C1)C(O)=O,CC1=CC(Cl)=CC=C1C(=O)[At]
CC1=C(C=CC=C1)C(O)=O,CC1=CC=CC=C1C(=O)[At]
COC(=O)C1=CC(=CC=N1)C(O)=O,O=C(O)C1=CC(C(=O)[At])=NC=C1
OC(=O)\\C=C/C1=CC=CS1,O=C([At])/C=C\C1=CC=CS1
CC(C)[C@@H](NC(=O)OC(C)(C)C)C(O)=O,CC(C)[C@@H](NC(=O)OC(C)(C)C)C(=O)[At]
OC(=O)C1=CC2=C(N1)C=C(F)C=C2,O=C([At])C1=CC2=C(C=C(F)C=C2)N1
O=CC1=CC=C2NN=CC2=C1,[At]CC1=CC2=C(C=C1)NN=C2
OC1=C(C=CC=C1C=O)[N+]([O-])=O,O=[N+]([O-])C1=CC=CC(C[At])=C1O
OC(=O)C1=CC=C(C(F)=C1)C1=CC=CC=C1,O=C([At])C1=CC(F)=C(C2=CC=CC=C2)C=C1
COC1=CC(C)=C(C=C1)C(O)=O,COC1=CC=C(C(=O)[At])C(C)=C1
OC(=O)CC1=CC(O)=CC=C1,O=C([At])CC1=CC=CC(O)=C1
OC(=O)[C@H]1CCC(=O)N1,O=C1CC[C@H](C(=O)[At])N1
OC(=O)C1C[C@@H]2CC[C@H]1C2,O=C([At])C1C[C@@H]2CC[C@H]1C2
ClC1=C(C=O)C=CC(Br)=C1,ClC1=CC(Br)=CC=C1C[At]
OC(=O)C1=CC(=C(O)N=C1)[N+]([O-])=O,O=C([At])C1=CN=C(O)C([N+](=O)[O-])=C1
COC1=CC=CC(F)=C1C(O)=O,COC1=C(C(=O)[At])C(F)=CC=C1
CC(C)(C)OCCC(O)=O,CC(C)(C)OCCC(=O)[At]
OC(=O)C1=CC=C(OC2=CC=CC=C2)N=C1,O=C([At])C1=CN=C(OC2=CC=CC=C2)C=C1
COC1=CC(=CC(OC)=C1OC)C(O)=O,COC1=CC(C(=O)[At])=CC(OC)=C1OC
O=CC1=CC=CC2=C1C=CN2,[At]CC1=C2C=CNC2=CC=C1
COC1=C(OCC(O)=O)C=CC=C1,COC1=CC=CC=C1OCC(=O)[At]
OC(=O)\\C=C\\C1=CC=C(C=C1)C1=CC=CC=C1,O=C([At])/C=C/C1=CC=C(C2=CC=CC=C2)C=C1
CC(C)C[C@H](O)C(O)=O,CC(C)C[C@H](O)C(=O)[At]
CC(=O)N1CCC(CC1)C(O)=O,CC(=O)N1CCC(C(=O)[At])CC1
CC(C)(C)OC(=O)NCC(O)=O,CC(C)(C)OC(=O)NCC(=O)[At]
COC1=C(C=C(C=C1)/C=C/C(O)=O)OC,COC1=CC=C(/C=C/C(=O)[At])C=C1OC
COC1=CC(C=O)=CC=C1C,COC1=CC(C[At])=CC=C1C
CN(C)C1=CC=C(C=C1)C(O)=O,CN(C)C1=CC=C(C(=O)[At])C=C1
COC1=CC(=CC=C1C(C)(C)C)C(O)=O,COC1=CC(C(=O)[At])=CC=C1C(C)(C)C
FC1=CC(C=O)=CC=C1OC(F)(F)F,FC1=CC(C[At])=CC=C1OC(F)(F)F
CC1=CC(C(O)=O)=C(C=C1)[N+]([O-])=O,CC1=CC(C(=O)[At])=C([N+](=O)[O-])C=C1
OC(=O)CCC1=CC2=C(OCO2)C=C1,O=C([At])CCC1=CC=C2OCOC2=C1
O=CC1=CC=NC=C1,[At]CC1=CC=NC=C1
CC(C)(C)OC(=O)NCCCCC(O)=O,CC(C)(C)OC(=O)NCCCCC(=O)[At]
OC(=O)CCS(=O)(=O)C1=CC=CC=C1,O=C([At])CCS(=O)(=O)C1=CC=CC=C1
OC(=O)C1=CC=CN=C1C(F)(F)F,O=C([At])C1=C(C(F)(F)F)N=CC=C1
CC(C)(C)OC(=O)N[C@H]1CC[C@H](CC(O)=O)CC1,CC(C)(C)OC(=O)N[C@H]1CC[C@H](CC(=O)[At])CC1
OC(=O)C1CN(CC2=CC=CC=C2)C(=O)C1,O=C([At])C1CC(=O)N(CC2=CC=CC=C2)C1
OC(=O)c1cccc2cn[nH]c12,O=C([At])C1=C2NN=CC2=CC=C1
OC(=O)C=C,C=CC(=O)[At]
OC(=O)\\C=C\\C1=CC(F)=CC=C1,O=C([At])/C=C/C1=CC=CC(F)=C1
CC(C)(C)OC(=O)N[C@H](CC1CCCCC1)C(O)=O,CC(C)(C)OC(=O)N[C@H](CC1CCCCC1)C(=O)[At]
OC(=O)\\C=C\\C1=C(F)C=CC(Br)=C1,O=C([At])/C=C/C1=CC(Br)=CC=C1F
CC1(C)C(C(O)=O)C1(C)C,CC1(C)C(C(=O)[At])C1(C)C
COC1=CC(C(O)=O)=C(Br)C=C1,COC1=CC(C(=O)[At])=C(Br)C=C1
CS(=O)(=O)NC1=CC=CC(C=O)=C1,CS(=O)(=O)NC1=CC=CC(C[At])=C1
OC(=O)C1=CC=CC(=C1F)C(F)(F)F,O=C([At])C1=C(F)C(C(F)(F)F)=CC=C1
CCC1=CC=C(C=C1)C(O)=O,CCC1=CC=C(C(=O)[At])C=C1
COC1=CC=C(C(O)=O)C(Cl)=C1OC,COC1=C(OC)C(Cl)=C(C(=O)[At])C=C1
OC(=O)C1=C(O)C=CC(=C1)S(O)(=O)=O,O=C([At])C1=CC(S(=O)(=O)O)=CC=C1O
OC(=O)C1=C(Cl)C=C(Cl)C=C1,O=C([At])C1=CC=C(Cl)C=C1Cl
ClC1=C(C=O)C=C(Br)C=C1,ClC1=CC=C(Br)C=C1C[At]
OC(=O)CC1=C(F)C(F)=CC=C1,O=C([At])CC1=CC=CC(F)=C1F
FC1=C(Cl)C=CC(C=O)=C1,FC1=C(Cl)C=CC(C[At])=C1
OC(=O)C1=CN=C2C=CC=CC2=N1,O=C([At])C1=NC2=CC=CC=C2N=C1
CC(C)(C)OC(=O)NCCCCCC(O)=O,CC(C)(C)OC(=O)NCCCCCC(=O)[At]
COC1=CC=C(CCCC(O)=O)C=C1,COC1=CC=C(CCCC(=O)[At])C=C1
OC(=O)C1=NC=C(F)C=C1,O=C([At])C1=CC=C(F)C=N1
OC(=O)C1=CC=C(F)C(Br)=N1,O=C([At])C1=NC(Br)=C(F)C=C1
BrC1=CC=C(C=O)N=C1,BrC1=CN=C(C[At])C=C1
O=CC1=CC=C(C=C1)C1=NC=CC=C1,[At]CC1=CC=C(C2=CC=CC=N2)C=C1
CC(C)(C)OC[C@H](NC(=O)OC(C)(C)C)C(O)=O,CC(C)(C)OC[C@H](NC(=O)OC(C)(C)C)C(=O)[At]
ClC1=NC(Cl)=C(C=O)C=C1,ClC1=CC=C(C[At])C(Cl)=N1
CC1=C(Cl)C=C(C=C1)C(O)=O,CC1=CC=C(C(=O)[At])C=C1Cl
OC(=O)CC1=C(F)C=CC(F)=C1F,O=C([At])CC1=C(F)C(F)=CC=C1F
CCC(C)C(O)=O,CCC(C)C(=O)[At]
BrC1=NC=C(C=O)C=C1,BrC1=CC=C(C[At])C=N1
OC(=O)C1=CC=C(Cl)C(Br)=C1,O=C([At])C1=CC(Br)=C(Cl)C=C1
CC1=CC(=CC(=C1)C(F)(F)F)C(O)=O,CC1=CC(C(=O)[At])=CC(C(F)(F)F)=C1
FC1=C(C=O)C=CC=C1,FC1=CC=CC=C1C[At]
CC1=NC=C(C=N1)C(O)=O,CC1=NC=C(C(=O)[At])C=N1
OC(=O)C1=CC=C(OC2=CC=CC=C2)C=C1,O=C([At])C1=CC=C(OC2=CC=CC=C2)C=C1
OC(=O)C#CC1CC1,O=C([At])C#CC1CC1
CC(=O)C1=CC=C(C=C1)C(O)=O,CC(=O)C1=CC=C(C(=O)[At])C=C1
CC1=NC2=CC(=NN2C(C)=C1)C(O)=O,CC1=NC2=CC(C(=O)[At])=NN2C(C)=C1
OC(=O)C1=CSC(=N1)C(F)(F)F,O=C([At])C1=CSC(C(F)(F)F)=N1
CC(C)(C)OC(=O)N1CCC2=C(C1)SC(=C2)C(O)=O,CC(C)(C)OC(=O)N1CCC2=C(C1)SC(C(=O)[At])=C2
CC(=O)NCCCC[C@H](NC(=O)OC(C)(C)C)C(O)=O,CC(=O)NCCCC[C@H](NC(=O)OC(C)(C)C)C(=O)[At]
O=CCCC1=CC=CC=C1,[At]CCCC1=CC=CC=C1
CC(NC(=O)OC(C)(C)C)C(O)=O,CC(NC(=O)OC(C)(C)C)C(=O)[At]
CC1=C(SC(=N1)C1=CC=CC=C1)C(O)=O,CC1=C(C(=O)[At])SC(C2=CC=CC=C2)=N1
OC(=O)C1CC(O)(C1)C(F)(F)F,O=C([At])C1CC(O)(C(F)(F)F)C1
CC1=C(C=NN1C1=CC=CC=C1)C(O)=O,CC1=C(C(=O)[At])C=NN1C1=CC=CC=C1
BrC1=CC=C(OC2=CC=C(C=O)C=C2)C=C1,BrC1=CC=C(OC2=CC=C(C[At])C=C2)C=C1
OC(=O)C1=CC=NC(F)=C1,O=C([At])C1=CC(F)=NC=C1
OC(=O)C1=CC=C2OCCOC2=C1,O=C([At])C1=CC2=C(C=C1)OCCO2
ClC1=C(Br)C=CC(C=O)=C1,ClC1=C(Br)C=CC(C[At])=C1
COC1=CC(C=O)=CC(OC)=C1,COC1=CC(C[At])=CC(OC)=C1
OCCOC1=CC=C(C=O)C=C1,OCCOC1=CC=C(C[At])C=C1
COC1=C(F)C=C(C=O)C(F)=C1,COC1=CC(F)=C(C[At])C=C1F
FC1=CC=C(C=O)C=C1C(F)(F)F,FC1=C(C(F)(F)F)C=C(C[At])C=C1
CC1=C(Br)C(=CC=C1)C(O)=O,CC1=C(Br)C(C(=O)[At])=CC=C1
OC(=O)C1=CC=C(C=C1F)C#N,N#CC1=CC(F)=C(C(=O)[At])C=C1
COC1=CC=C(CCC(O)=O)C(OC)=C1,COC1=CC(OC)=C(CCC(=O)[At])C=C1
OC(=O)CCOC1=CC=C(C=C1)[N+]([O-])=O,O=C([At])CCOC1=CC=C([N+](=O)[O-])C=C1
OC(=O)C1=CC=C(F)C=C1,O=C([At])C1=CC=C(F)C=C1
CC1=C(C(O)=O)C(C)=NO1,CC1=NOC(C)=C1C(=O)[At]
CC(=O)NC1=CC=CC(=C1)C(O)=O,CC(=O)NC1=CC=CC(C(=O)[At])=C1
OC(=O)C1=CC=CC2=C1N=CN2,O=C([At])C1=C2N=CNC2=CC=C1
CCCCC1=NC(C=O)=C(Cl)N1,CCCCC1=NC(C[At])=C(Cl)N1
OC(=O)C1(O)CCCC1,O=C([At])C1(O)CCCC1
COC1=CC=C(C=O)C(C)=C1,COC1=CC(C)=C(C[At])C=C1
OC(=O)C(Br)C1=CC=CC=C1,O=C([At])C(Br)C1=CC=CC=C1
OC(=O)C1=CC=C(O)C=C1,O=C([At])C1=CC=C(O)C=C1
OC(=O)CC1CCC=C1,O=C([At])CC1C=CCC1
OC(C(O)=O)C1=CC=C(F)C=C1,O=C([At])C(O)C1=CC=C(F)C=C1
OC(=O)C1=CC2=C(CCC2)C=C1,O=C([At])C1=CC=C2CCCC2=C1
O=CC1=CC=C(OC2=CC=CC=C2)N=C1,[At]CC1=CN=C(OC2=CC=CC=C2)C=C1
OC(=O)\\C=C\\C1=CC(O)=CC=C1,O=C([At])/C=C/C1=CC=CC(O)=C1
CC(C)CCCC(O)=O,CC(C)CCCC(=O)[At]
OC(=O)C1=CSC=N1,O=C([At])C1=CSC=N1
OC(=O)C1=CC(Cl)=CC=N1,O=C([At])C1=NC=CC(Cl)=C1
FC1(F)OC2=C(O1)C=C(C=O)C=C2,FC1(F)OC2=CC=C(C[At])C=C2O1
OC(=O)c1cccc2[nH]ncc12,O=C([At])C1=C2C=NNC2=CC=C1
CC1=CC=C(CCCC(O)=O)C=C1,CC1=CC=C(CCCC(=O)[At])C=C1
CC(C)(C)OC(=O)N1CC[C@@H](C1)C(O)=O,CC(C)(C)OC(=O)N1CC[C@H](C(=O)[At])C1
O=CC1=C2C=CC=CC2=CC2=CC=CC=C12,[At]CC1=C2C=CC=CC2=CC2=C1C=CC=C2
OC(=O)C1=C(F)C(O)=C(F)C(F)=C1,O=C([At])C1=CC(F)=C(F)C(O)=C1F
CC(C)(C)OC(=O)N[C@H](CC1=CC=C(F)C=C1)C(O)=O,CC(C)(C)OC(=O)N[C@H](CC1=CC=C(F)C=C1)C(=O)[At]
OC(=O)C1=C(I)C=CS1,O=C([At])C1=C(I)C=CS1
CCOC1=CC=C(CCC(O)=O)C=C1,CCOC1=CC=C(CCC(=O)[At])C=C1
O=CC1=C2C=NNC2=CC=C1,[At]CC1=CC=CC2=C1C=NN2
CN1C=CC(=N1)C(O)=O,CN1C=CC(C(=O)[At])=N1
OC[C@@H](O)[C@@H](O)[C@H](O)C=O,OC[C@@H](O)[C@@H](O)[C@H](O)C[At]
CSCCC(O)=O,CSCCC(=O)[At]
OC(=O)C1=CN=C(Br)S1,O=C([At])C1=CN=C(Br)S1
CC(OC1=CC=CC=C1)C(O)=O,CC(OC1=CC=CC=C1)C(=O)[At]
COC1=C(C=CC(=C1)[N+]([O-])=O)C(O)=O,COC1=CC([N+](=O)[O-])=CC=C1C(=O)[At]
CC1=C(C=C(C=C1)[N+]([O-])=O)C(O)=O,CC1=CC=C([N+](=O)[O-])C=C1C(=O)[At]
CC1=NC=C(S1)C(O)=O,CC1=NC=C(C(=O)[At])S1
OC(=O)CCCCCNC(=O)OCC1=CC=CC=C1,O=C([At])CCCCCNC(=O)OCC1=CC=CC=C1
OC(CC(O)=O)C1=CC=CC=C1,O=C([At])CC(O)C1=CC=CC=C1
CC1=C(C=C(C=O)C=C1)[N+]([O-])=O,CC1=CC=C(C[At])C=C1[N+](=O)[O-]
OC(=O)CSCC1=CC=CC=C1,O=C([At])CSCC1=CC=CC=C1
CC1=C(N=CC=C1)C(O)=O,CC1=CC=CN=C1C(=O)[At]
COC1=CC(CC(O)=O)=CC(OC)=C1OC,COC1=CC(CC(=O)[At])=CC(OC)=C1OC
O=CC1=CC=CC2=C1N=CC=C2,[At]CC1=C2N=CC=CC2=CC=C1
C[C@@H](CC(O)=O)NC(=O)OC(C)(C)C,C[C@@H](CC(=O)[At])NC(=O)OC(C)(C)C
OC(=O)CCC1=C(Cl)C=CC=C1Cl,O=C([At])CCC1=C(Cl)C=CC=C1Cl
CC[C@H]1CC[C@@H](CC1)C(O)=O,CC[C@H]1CC[C@H](C(=O)[At])CC1
CC(=O)C1=CC=CC(=C1)C(O)=O,CC(=O)C1=CC=CC(C(=O)[At])=C1
OC(=O)C\\C=C\\C1=CC=CC=C1,O=C([At])C/C=C/C1=CC=CC=C1
CC1=CC(F)=CC(=C1)C(O)=O,CC1=CC(F)=CC(C(=O)[At])=C1
CC1=C(C=CC=C1C(F)(F)F)C(O)=O,CC1=C(C(F)(F)F)C=CC=C1C(=O)[At]
COC1=C(C=O)C(O)=CC=C1,COC1=CC=CC(O)=C1C[At]
CC(C)(C)OC(=O)N1CCCC1C(O)=O,CC(C)(C)OC(=O)N1CCCC1C(=O)[At]
CCCCC1=NC(C=O)=CN1,CCCCC1=NC(C[At])=CN1
OC(=O)C1CCN(CC1)C(=O)OCC1c2ccccc2-c2ccccc12,O=C([At])C1CCN(C(=O)OCC2C3=C(C=CC=C3)C3=C2C=CC=C3)CC1
CC(C)(C)OC(=O)N[C@@H](CC(O)=O)C(=O)OC(C)(C)C,CC(C)(C)OC(=O)N[C@@H](CC(=O)[At])C(=O)OC(C)(C)C
CC(=O)NCC(O)=O,CC(=O)NCC(=O)[At]
OC(=O)[C@@H]1CCCN1C(=O)OCC1=CC=CC=C1,O=C([At])[C@@H]1CCCN1C(=O)OCC1=CC=CC=C1
OC(=O)C1=CSC2=CC=CC=C12,O=C([At])C1=CSC2=CC=CC=C12
COC1=C(Cl)C=C(C=C1)C(O)=O,COC1=CC=C(C(=O)[At])C=C1Cl
FC1=C(OC2=CC=CC=C2)C=C(C=O)C=C1,FC1=CC=C(C[At])C=C1OC1=CC=CC=C1
OC(=O)C1=CC2=C(Br)C=CC=C2N1,O=C([At])C1=CC2=C(C=CC=C2Br)N1
COC1=C(O)C=CC(C=O)=C1,COC1=C(O)C=CC(C[At])=C1
O=CC1=CC(=CC=C1)C1=CC=CC=C1,[At]CC1=CC=CC(C2=CC=CC=C2)=C1
OC(=O)C1=CC=C(Br)C=C1,O=C([At])C1=CC=C(Br)C=C1
OC(=O)CCCC(=O)NC1=CC=CC=C1,O=C([At])CCCC(=O)NC1=CC=CC=C1
CC(=O)NC1=CC=C(C(O)=O)C(C)=C1,CC(=O)NC1=CC(C)=C(C(=O)[At])C=C1
COC1=CC=C(Br)C(C=O)=C1,COC1=CC=C(Br)C(C[At])=C1
C\\C=C(/C)C(O)=O,C/C=C(\C)C(=O)[At]
OC(=O)c1cccc2ncccc12,O=C([At])C1=C2C=CC=NC2=CC=C1
OC1CC(C1)C(O)=O,O=C([At])C1CC(O)C1
CC(C)(C)OC(=O)N[C@H]1CC[C@@H](CC1)C(O)=O,CC(C)(C)OC(=O)N[C@H]1CC[C@H](C(=O)[At])CC1
CCC[C@H](NC(=O)OC(C)(C)C)C(O)=O,CCC[C@H](NC(=O)OC(C)(C)C)C(=O)[At]
O=CC1=NC=CN1,[At]CC1=NC=CN1
C[C@@H](O)C(O)=O,C[C@@H](O)C(=O)[At]
CC(C)(C)C1CCC(CC1)C(O)=O,CC(C)(C)C1CCC(C(=O)[At])CC1
OC(=O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CC=CC=C1,O=C(N[C@@H](CC1=CC=CC=C1)C(=O)[At])OCC1=CC=CC=C1
OC(=O)C1=C2C=CC=CC2=C(Br)C=C1,O=C([At])C1=CC=C(Br)C2=C1C=CC=C2
OC(=O)CCCC(F)(F)F,O=C([At])CCCC(F)(F)F
CC1=CC=C(I)C=C1C(O)=O,CC1=C(C(=O)[At])C=C(I)C=C1
CC1=CC=C(Cl)C=C1C(O)=O,CC1=C(C(=O)[At])C=C(Cl)C=C1
CC1=C(C=O)C(=NO1)C1=CC=CC=C1,CC1=C(C[At])C(C2=CC=CC=C2)=NO1
CC1=C(C=CO1)C(O)=O,CC1=C(C(=O)[At])C=CO1
CC1=C(C=CC(Br)=C1)C(O)=O,CC1=CC(Br)=CC=C1C(=O)[At]
CC(C(O)=O)C1=NNC(=O)C2=C1C=CC=C2,CC(C(=O)[At])C1=NNC(=O)C2=C1C=CC=C2
OC(=O)C1=CC(Cl)=CN=C1Br,O=C([At])C1=C(Br)N=CC(Cl)=C1
OC(=O)C1=NC=CN1,O=C([At])C1=NC=CN1
OC(=O)C1=CC=C(Br)C=C1Br,O=C([At])C1=C(Br)C=C(Br)C=C1
CS(=O)(=O)C1=CC=C(C=C1)C(O)=O,CS(=O)(=O)C1=CC=C(C(=O)[At])C=C1
OC(=O)\\C=C\\C1=C(C=CC=C1)C(F)(F)F,O=C([At])/C=C/C1=CC=CC=C1C(F)(F)F
CC(C)(C)OC(=O)N[C@@H](CO)C(O)=O,CC(C)(C)OC(=O)N[C@@H](CO)C(=O)[At]
CN1CCC(CC1=O)C(O)=O,CN1CCC(C(=O)[At])CC1=O
COC1=CC2=C(C=C(N2)C(O)=O)C=C1,COC1=CC2=C(C=C1)C=C(C(=O)[At])N2
OC(=O)C1=CC(F)=C(Br)C=C1,O=C([At])C1=CC=C(Br)C(F)=C1
OC(=O)C1=NNC(=C1)C1=CC=C(Cl)C=C1,O=C([At])C1=NNC(C2=CC=C(Cl)C=C2)=C1
OC(=O)C1=CN=C(Br)C=C1,O=C([At])C1=CC=C(Br)N=C1
CC(C)(C)[C@H]1CC[C@@H](CC1)C(O)=O,CC(C)(C)[C@H]1CC[C@H](C(=O)[At])CC1
OC(=O)CC1=CSC=C1,O=C([At])CC1=CSC=C1
OC(=O)C1=CC2=C(N1)C=CC(F)=C2,O=C([At])C1=CC2=C(C=CC(F)=C2)N1
COC(=O)C1=C(C=CC=C1)C(O)=O,O=C(O)C1=CC=CC=C1C(=O)[At]
COC1=CC=CC(C(O)=O)=C1OC,COC1=CC=CC(C(=O)[At])=C1OC
CC(C(O)=O)C1=CC=C(C(F)=C1)C1=CC=CC=C1,CC(C(=O)[At])C1=CC(F)=C(C2=CC=CC=C2)C=C1
